epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5923,0.94789,3.32105,1.2142,0.00351,1,0.42627,0.32974,0.76892,3.73117,1.10869,0.00011432,0.00011432,0.00011432
2,57.5055,0.75196,2.48538,1.06277,0.00336,1,0.6078,0.51731,0.57176,3.39006,1.02057,0.00023812,0.00023812,0.00023812
3,88.6422,0.70094,2.07638,1.02526,0.00332,1,0.82843,0.66645,0.76674,3.15209,1.08603,0.000356827,0.000356827,0.000356827
4,116.242,0.7749,1.77637,1.0514,0.54854,1,0.89833,0.76592,0.6742,3.18562,1.03839,0.000470441,0.000470441,0.000470441
5,143.659,0.74208,1.55057,1.01621,0.9057,0.31062,0.83613,0.72884,0.6561,3.28963,1.03311,0.000578962,0.000578962,0.000578962
6,171.149,0.75017,1.45696,1.03473,0.99651,0.48253,0.81026,0.65436,0.73918,3.2577,1.08332,0.00068239,0.00068239,0.00068239
7,198.566,0.7788,1.34572,1.02131,0.8133,0.625,0.87036,0.71571,0.75406,2.94051,1.08609,0.000780726,0.000780726,0.000780726
8,225.945,0.80923,1.32706,1.05079,0.80742,0.94405,0.94256,0.79863,0.71349,2.42696,1.05853,0.000873968,0.000873968,0.000873968
9,253.201,0.75875,1.24474,0.99578,0.87517,0.81746,0.94148,0.77757,0.6926,2.64293,1.05418,0.000962117,0.000962117,0.000962117
10,280.706,0.76792,1.23957,1.02406,0.81961,0.78826,0.92632,0.807,0.65009,2.5321,0.99654,0.00104517,0.00104517,0.00104517
11,308.042,0.72472,1.2261,0.9921,0.70002,0.89517,0.995,0.85965,0.66022,2.27393,1.00705,0.00112314,0.00112314,0.00112314
12,335.469,0.7321,1.27751,1.01688,0.98075,0.91667,0.9487,0.81574,0.65557,1.5244,1.05519,0.00111776,0.00111776,0.00111776
13,365.161,0.7295,1.15691,1.00995,0.75832,0.66667,0.50609,0.43929,0.59625,3.15369,1.01905,0.00108947,0.00108947,0.00108947
14,404.147,0.72169,1.21683,0.98021,0.71203,0.87896,0.94587,0.81159,0.65985,2.63258,1.02473,0.00106118,0.00106118,0.00106118
15,442.724,0.73073,1.07729,0.98786,0.89887,0.99472,0.995,0.80217,0.80073,1.54448,1.13149,0.00103288,0.00103288,0.00103288
16,480.515,0.70029,1.12598,0.95635,0.97451,1,0.995,0.7924,0.76064,1.20724,1.10282,0.00100459,0.00100459,0.00100459
17,516.305,0.70144,0.97192,0.95613,0.94811,1,0.995,0.78337,0.81692,1.23479,1.1408,0.000976293,0.000976293,0.000976293
18,552.22,0.726,1.00907,1.00078,0.9534,1,0.995,0.83835,0.6786,1.19247,1.05451,0.000947999,0.000947999,0.000947999
19,584.281,0.74353,1.00311,1.0109,0.98629,1,0.995,0.86799,0.64422,1.02559,1.00497,0.000919704,0.000919704,0.000919704
20,611.827,0.719,0.96341,0.97431,0.9757,1,0.995,0.8281,0.71762,1.06806,1.05953,0.00089141,0.00089141,0.00089141
21,639.343,0.70382,0.95765,0.99803,0.9799,0.99334,0.995,0.84977,0.66584,1.01934,1.01783,0.000863116,0.000863116,0.000863116
22,667.158,0.70776,0.90921,0.98651,0.95112,0.99771,0.995,0.84175,0.66834,1.03535,1.00479,0.000834822,0.000834822,0.000834822
23,694.858,0.66937,0.86678,0.96757,0.98513,1,0.995,0.8497,0.62373,0.97634,1.00515,0.000806528,0.000806528,0.000806528
24,722.597,0.67723,0.83344,0.97616,0.94755,0.98738,0.995,0.8778,0.61321,0.92975,0.97881,0.000778233,0.000778233,0.000778233
25,750.219,0.63973,0.81812,0.95167,0.98657,1,0.995,0.87925,0.63522,0.9387,0.98163,0.000749939,0.000749939,0.000749939
